Ref_Interne; Materiel; NumeroSerie; Type; Marque; Quantite; DataAchat; PrixAchat; DateSortie; QuantiteSortie; NatureSortie; QuantiteRestante; DureeUtilisationPrevisionelle; FequenceUtilisation; LieuStockage; nom; 
BRICO_O_207; Pelle ronde; ; ; ; 1; 2012-03-29; 11.7; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PELLERON1; 
BRICO_O_208; Lot de 2 douilles 30 et 34 carre 1/2; ; ; ; 1; 2012-03-29; 11.3; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DOUILLE01; 
BRICO_O_209; Echafaudage telescopique Tubesca X-Tenso Tower Hauteur de travail maxi : 4m Hauteurs de plancher : 0.61/1/1.25/1.50/1.75/2m Poids : 55Kg Encombrement pli?® : 1.20m x 0.40m x .070m Dimensions du plancher : 1.40 x 0.68m Dimensions au sol : 1.45m x 0.65m; ; ; ; 1; 2012-03-29; 1435.2; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; ECHAFA002; 
BRICO_O_210; 1x Plate-forme t?®lescopique TELESTEPS Superficie 1360 x 410 mm Hauteurs 88 / 68 / 50 cm Hauteurs de travail 260 / 240 / 220 cm Dimensions repli?®e 740 x 280 x 620 mm Largeur 62 cm Poids 17.4 kg; ; ; ; 1; 2012-03-29; 348; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PLATEF002; 
BRICO_O_211; Ponceuse excentrique (Bosch GEX 150 turbo) en coffret; ; ; ; 1; 2029-03-20; 400; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PONCEU006; 
BRICO_O_212; Diable aluminium repliable 125 kg; NA; 125 Kg; MATADOR; 1; 2028-06-20; 137.5; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DIABLE006; 
BRICO_O_213; PLATEAU ROULANT 600X400 HAUT. 150 CAOUTCHOUC; NA; Plateau Roulant; NA; 1; 2030-04-20; 85.4; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DIABLE007; 
BRICO_O_214; PLATEAU ROULANT 600X400 HAUT. 150 CAO; NA; Plateau Roulant; NA; 1; 2030-04-20; 89.4; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; DIABLE008; 
BRICO_O_215; Pistolet a colle (thermocolleur); ; ; ; 1; 2012-05-31; 84; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; PISTOCOLLE001; 
BRICO_O_216; Clef a chocs facom CL2.C1913D + coffret 11 douilles de 12 a 24.; ; CL2.C1913D; FACOM; 1; 2012-04-30; 575; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; CLEFCHOC001; 
BRICO_O_217; scie sauteuse metabo STE135; ; ; ; 1; 2012-03-29; 243; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; SCIESAUT003; 
BRICO_O_218; Visseuse placo Metabo SE4000 + chargeur automatique de vis Dediee placo; ; ; ; 1; 2012-03-29; 721.38; 2000-01-01; 0; NA; 1; 10 ans; 1/15 jours; Air-RPBricolage; VISPLACO001; 
